Date,Cars,LCV,HGV,All_motor,National_rail,Tube_London,Bus_London,Bus_Others,Cycling
02/04/2020,0.32,0.38,0.6,0.35,0.05,0.05,0.16,0.11,1.12
03/04/2020,0.34,0.4,0.6,0.36,0.05,0.05,0.16,0.12,1.13
04/04/2020,0.28,0.34,0.66,0.31,0.05,0.04,0.17,0.11,2.01
05/04/2020,0.25,0.3,0.7,0.27,0.05,0.04,0.17,0.12,2.3
06/04/2020,0.33,0.42,0.61,0.37,0.05,0.05,0.18,0.11,1.07
07/04/2020,0.33,0.41,0.6,0.36,0.05,0.05,0.18,0.11,1.42
08/04/2020,0.34,0.41,0.62,0.37,0.05,0.05,0.17,0.1,1.58
09/04/2020,0.36,0.43,0.61,0.39,0.05,0.05,0.18,0.12,1.72
10/04/2020,0.27,0.27,0.33,0.27,0.04,0.04,0.17,0.12,1.83
11/04/2020,0.29,0.35,0.55,0.31,0.04,0.04,0.16,0.1,2.89
12/04/2020,0.22,0.26,0.5,0.24,0.04,0.04,0.14,0.1,2.5
13/04/2020,0.23,0.22,0.25,0.23,0.04,0.05,0.18,0.12,1.23
14/04/2020,0.35,0.44,0.6,0.38,0.04,0.05,0.19,0.12,1.37
15/04/2020,0.34,0.44,0.63,0.38,0.04,0.05,0.18,0.1,1.99
16/04/2020,0.34,0.42,0.63,0.38,0.04,0.05,0.18,0.11,2.09
17/04/2020,0.35,0.43,0.63,0.38,0.05,0.05,0.18,0.11,1.02
18/04/2020,0.31,0.38,0.71,0.33,0.05,0.04,0.16,0.11,1.44
19/04/2020,0.29,0.36,0.73,0.32,0.05,0.04,NA,0.13,3.24
20/04/2020,0.38,0.48,0.65,0.41,0.06,0.05,NA,0.12,1.42
21/04/2020,0.37,0.47,0.64,0.41,0.05,0.05,NA,0.11,1.53
22/04/2020,0.37,0.47,0.65,0.41,0.05,0.05,NA,0.11,2.06
23/04/2020,0.37,0.46,0.64,0.41,0.05,0.05,NA,0.11,2.25
24/04/2020,0.39,0.46,0.65,0.42,0.04,0.05,NA,0.12,1.91
25/04/2020,0.35,0.43,0.71,0.38,0.04,0.04,NA,0.12,2.93
26/04/2020,0.32,0.39,0.75,0.35,0.04,0.04,NA,0.13,3.49
27/04/2020,0.4,0.51,0.68,0.44,0.04,0.05,NA,0.12,1.64
28/04/2020,0.37,0.48,0.67,0.41,0.04,0.05,NA,0.11,0.5
29/04/2020,0.38,0.49,0.68,0.42,0.04,0.05,NA,0.11,1.14
30/04/2020,0.39,0.48,0.67,0.42,0.04,0.05,NA,0.11,0.98
01/05/2020,0.4,0.5,0.66,0.44,0.04,0.05,NA,0.12,1.25
02/05/2020,0.38,0.47,0.72,0.4,0.04,0.04,NA,0.12,3.13
03/05/2020,0.34,0.42,0.76,0.36,0.04,0.04,NA,0.13,2.63
04/05/2020,0.42,0.54,0.7,0.46,0.05,0.06,NA,0.12,1.58
05/05/2020,0.42,0.54,0.71,0.46,0.05,0.06,NA,0.12,1.33
06/05/2020,0.43,0.55,0.73,0.47,0.05,0.05,NA,0.12,2.31
07/05/2020,0.45,0.55,0.71,0.49,0.05,0.05,NA,0.13,2.29
08/05/2020,0.33,0.33,0.35,0.34,0.05,0.07,NA,NA,2.41
09/05/2020,0.38,0.46,0.65,0.41,0.05,0.05,NA,0.13,3.87
10/05/2020,0.35,0.44,0.77,0.37,0.05,0.04,NA,0.13,1.51
11/05/2020,0.45,0.58,0.74,0.49,0.05,0.06,NA,0.12,1.01
12/05/2020,0.45,0.59,0.74,0.5,0.05,0.06,NA,0.13,1.47
13/05/2020,0.48,0.61,0.76,0.53,0.05,0.06,NA,0.12,1.54
14/05/2020,0.49,0.6,0.75,0.53,0.05,0.06,NA,0.13,2.13
15/05/2020,0.51,0.61,0.74,0.55,0.06,0.06,NA,0.13,1.78
16/05/2020,0.52,0.64,0.8,0.56,0.06,0.05,NA,0.13,3.16
17/05/2020,0.5,0.63,0.84,0.54,0.06,0.05,NA,0.15,3.11
18/05/2020,0.53,0.67,0.79,0.58,0.06,0.07,NA,0.14,1.68
19/05/2020,0.54,0.67,0.79,0.58,0.07,0.07,NA,0.14,1.7
20/05/2020,0.56,0.67,0.8,0.6,0.07,0.07,NA,0.13,2.37
21/05/2020,0.54,0.66,0.8,0.59,0.07,0.07,NA,0.13,2.27
22/05/2020,0.56,0.67,0.79,0.59,0.07,0.08,NA,0.14,1.22
23/05/2020,0.55,0.68,0.84,0.58,0.07,0.06,NA,0.14,1.61
24/05/2020,0.55,0.67,0.8,0.59,0.07,0.06,NA,0.16,2.65
25/05/2020,0.51,0.46,0.34,0.5,0.07,0.09,NA,0.19,2.91
26/05/2020,0.59,0.72,0.8,0.63,0.07,0.09,NA,0.15,1.68
27/05/2020,0.59,0.72,0.84,0.63,0.07,0.08,NA,0.14,2.29
28/05/2020,0.59,0.71,0.83,0.64,0.07,0.09,NA,0.14,2.38
29/05/2020,0.62,0.72,0.83,0.66,0.08,0.09,NA,0.15,1.99
30/05/2020,0.66,0.77,0.92,0.7,0.08,0.08,NA,0.16,3.24
31/05/2020,0.67,0.79,0.94,0.71,0.08,0.09,NA,0.19,3.24
01/06/2020,0.65,0.78,0.87,0.69,0.08,0.1,NA,0.17,1.85
02/06/2020,0.65,0.78,0.84,0.69,0.08,0.1,NA,0.18,1.85
03/06/2020,0.59,0.74,0.85,0.63,0.09,0.1,NA,0.16,1.2
04/06/2020,0.6,0.73,0.85,0.64,0.09,0.1,NA,0.17,1.71
05/06/2020,0.62,0.74,0.85,0.65,0.08,0.1,NA,0.17,1.14
06/06/2020,0.63,0.76,0.9,0.66,0.08,0.1,NA,0.16,1.24
07/06/2020,0.63,0.76,0.93,0.66,0.09,0.11,NA,0.19,2.23
08/06/2020,0.63,0.78,0.87,0.68,0.09,0.11,NA,0.18,1.66
