Date,Relevance,Headline,Detail (Source)
11-Feb-20,0,A ninth case is confirmed in London.[13],
12-Feb-20,0,Johnson skips fourth Cobra meeting,The Prime Minister is yet to attend a single meeting of the coronavirus emergency response committee. (Spectator)
12-Feb-20,0,Johnson skips conference call with European leaders,"The PM and Matt Hancock fail to dial in to a conference call with EU leaders and health ministers to discuss coronavirus response planning, despite being invited. Over the next six weeks they will fail to attend a further seven such calls. (Reuters)"
12-Feb-20,0,Johnson retreats for a 'working holiday',
13-Feb-20,0,"The PM decamps for a fortnight to Chevening, Kent. Despite the UK raising the official threat level to 'moderate' and NHS England declaring a Level 4 Critical Incident at the end of January, aides are told to keep Johnson's briefing notes short. It will later emerge that much of Johnson's time was spent reaching a divorce settlement, to pave the way for the announcement that he and his new partner are now engaged and expecting a baby. (Sunday Times)",
14-Feb-20,0,First coronavirus death in Europe (BBC News),
15-Feb-20,0,Johnson skips fifth coronavirus Cobra meeting (Spectator),
18-Feb-20,0,"Mid February: ""There was a real sense that he didn’t do urgent crisis planning""","Looking back at this time, a Senior Downing St adviser will later say: ""There’s no way you’re at war if your PM isn’t there. And what you learn about Boris was he didn’t chair any meetings. He liked his country breaks. He didn’t work weekends. There was a real sense that he didn’t do urgent crisis planning. It was... like people feared he would be."" (Sunday Times)"
19-Feb-20,0,First coronavirus death in Italy,All public events are banned and schools closed in several towns southeast of Milan. (Telegraph)
21-Feb-20,0,UK government keeps threat level at 'moderate' (Sun),
23-Feb-20,0,Johnson emerges from his 'working holiday' and returns to Downing Street (Mirror),
23-Feb-20,0,The DHSC confirms a total of 13 cases in the UK as four new cases in passengers on the cruise ship Diamond Princess are detected. They are transferred to hospitals in the UK.[14],
24-Feb-20,0,"""Days make a difference with a disease like this"" – WHO","""Time is everything in this disease... If you can slow something down by three days by the time you get to a fifth generation of cases you can cut the size of that by 90%. Days make a difference with a disease like this."" – Dr Bruce Aylward, WHO China Envoy. (WHO)"
25-Feb-20,1,"Half a million Britons could die, according to leaked UK government 'Worst Case Scenario' document","With 13 known cases in the UK, the study estimates that the coronavirus could infect up to 80% of the population. (Independent)"
25-Feb-20,0,"Government guidance states that travellers returning from Hubei, Iran, and certain regions of South Korea should self-isolate on reaching home or their destination, even if they have no symptoms.[15]",
26-Feb-20,0,"Late February: ""Herd immunity, protect the economy, and if that means some pensioners die, too bad""","A summary of how Dominic Cummings described the Government’s strategy, according to a witness who later spoke to the Sunday Times. He denies it. (Sunday Times)"
26-Feb-20,0,Australia designates Covid-19 a pandemic and enacts emergency response plan (USA Today),
26-Feb-20,0,"here is a coronavirus outbreak at a Nike conference in Edinburgh from which at least 25 people linked to the event are thought to have contracted the virus, including 8 residents of Scotland. Health Protection Scotland establishes an incident management team, and full contact tracing is done for delegates who have tested positive.[16]",
27-Feb-20,0,First British coronavirus death confirmed,A British man who was quarantined on the Diamond Princess cruise ship dies from Covid-19. (Guardian)
27-Feb-20,0,The total number of confirmed cases in the UK is reported as 16.[17][18],
27-Feb-20,0,Authorities confirm the first case of coronavirus in Northern Ireland.[19],
28-Feb-20,0,First recorded transmission of the disease on UK soil (Times),
28-Feb-20,0,The first British death from the disease is confirmed by the Japanese Health Ministry; a man quarantined on the Diamond Princess cruise ship.[20],
28-Feb-20,0,"Authorities confirm the first case of coronavirus in Wales, an individual who recently returned from holiday in Italy.[21]",
29-Feb-20,0,"Scotland's Chief Medical Officer, Catherine Calderwood announces that surveillance will begin at some hospitals and 41 GP surgeries in Scotland.[24]",
29-Feb-20,0,"NHS bosses warn of PPE shortage and ""nightmare""","In 2019, the Government's own National Security Risk Assessment warned of the severe risk from a coronavirus pandemic. The Government failed to heed even basic recommended preparations. Instead, Brexit preparations took priority over training key workers for a pandemic, and emergency PPE stockpiles severely dwindled or went out of date following years of austerity cuts. (Sunday Times)"
29-Feb-20,0,Johnson retreats to Chequers to announce engagement and fiancé's pregnancy (Telegraph),
29-Feb-20,0,"Johnson says the virus is likely to ""spread a bit more"" in the UK (Reuters)",
29-Feb-20,0,"Three further cases of the virus are confirmed, bringing the total number of confirmed cases to 23, after 10,483 people have been tested.[22] Two of the three affected people had recently returned from Italy while the third had come back from Asia.[23]",
29-Feb-20,0,"Around 442,675 calls were made to the non-emergency line 111 in the last week of February.[25]",
01-Mar-20,1,Government's own scientists say more than half a million Britons could die if virus is left unrestrained (Reuters),
01-Mar-20,0,"A further 13 cases are reported, adding Greater Manchester and Scotland to the list of areas affected and bringing the total to 36, three of which are believed to be contacts of a case in Surrey who had no history of travel abroad.[26][27]",
01-Mar-20,0,Authorities confirm the first case of coronavirus in Scotland.[28],
02-Mar-20,0,Scientists urge UK Government to advise public not to shake hands,"Government scientists agree that the public should be warned ""against greetings such as shaking hands and hugging, given existing evidence about the importance of hand hygiene."" (Government)"
02-Mar-20,0,PM finally attends a coronavirus Cobra meeting,"Chairing his first Cobra meeting about the disease, the PM is confronted with estimates of half a million deaths in the UK. Despite these chilling warnings from its own pandemic modelling panel, the Government declines another opportunity to join EU countries jointly buying essential PPE, including overalls, gloves and face masks. (Sky News)"
02-Mar-20,0,"Johnson tells the country we are ""very, very well-prepared""","As chronic PPE shortages and other failures will soon reveal, Britain is not in fact prepared. (Sky News)"
02-Mar-20,0,New Zealand PM lays out a raft of measures to fight coronavirus,"In New Zealand, travel from China has already been banned for a month. 8,000 nationals returning home from affected areas have been self-isolating for two weeks. PM Jacinda Ardern announces travellers from Italy and South Korea will now be required to self-isolate for two weeks. By late May New Zealand's Covid-19 death toll will be just 21. (Sunday Times)"
02-Mar-20,0,"The government holds a COBRA meeting to discuss its preparations and response to the virus, as the number of UK cases jumps to 36.[29]",
03-Mar-20,0,"""I'm shaking hands continuously"" – Boris Johnson","""I’m shaking hands continuously. I was at a hospital the other night where I think there were actually a few coronavirus patients and I shook hands with everybody, you’ll be pleased to know. I continue to shake hands."" He adds: ""I want to stress that for the vast majority of the people of this country, we should be going about our business as usual."" (Guardian)"
03-Mar-20,0,"The total number of coronavirus cases now recorded in mainland China reaches 80,026, with 2,943 deaths (Guardian)",
03-Mar-20,0,Government stops providing daily updates on Covid-19 cases,"Following a 70% spike in coronavirus cases in the UK, the Government stops providing daily updates on cases – instead moving to weekly updates. Ministers will later U-turn amid accusations it is withholding vital information. (Guardian)"
03-Mar-20,0,"The government publishes its action plan for dealing with coronavirus. This includes scenarios ranging from a milder pandemic to a ""severe prolonged pandemic as experienced in 1918"" and warns that a fifth of the national workforce could be absent from work during the infection's peak.[30][31]",
04-Mar-20,1,First coronavirus death in the UK,
04-Mar-20,0,The total number of confirmed cases increases to 85.[22],
05-Mar-20,0,"Greece closes its schools, following in the paths of Iran and Italy","Larger public gatherings at Greek theatres, cinemas, museums and sports events have been cancelled in three western regions of the country. The Greeks will later be lauded for successfully suppressing the virus through early action. (Guardian)"
05-Mar-20,0,"""Wash your hands and business as usual"" – Boris Johnson (BBC News)",
05-Mar-20,0,"The Prime Minister joins 82,000 at Six Nations rugby match","In the absence of clear government direction many major organisations, businesses and sporting bodies have cancelled events or implemented urgent action plans. Meanwhile Boris Johnson takes his pregnant fiancé to Twickenham. (Express)"
05-Mar-20,0,"The airline Flybe collapses into administration, due in part to the impact of the coronavirus.[32]",
05-Mar-20,0,"The first death from coronavirus in the UK is confirmed,[33] as the number of cases exceeds 100, with a total of 115 having tested positive. England's Chief Medical Officer, Chris Whitty, tells MPs that the UK has now moved to the second stage of dealing with COVID-19 – from ""containment"" to the ""delay"" phase.[34]",
06-Mar-20,0,"The Prime Minister announces £46 million in funding for research into a coronavirus vaccine and rapid diagnostic tests. During a visit to a laboratory in Bedfordshire, he says: ""It looks like there will be a substantial period of disruption where we have to deal with this outbreak.""[35]",
07-Mar-20,0,France bans large events and begins stricter distancing measures (New York Times),
07-Mar-20,0,The number of cases rises to over 200.[36],
08-Mar-20,0,"A third death from coronavirus is reported, at North Manchester General Hospital, as the number of cases in the UK reaches 273, the largest single-day increase so far.[37]",
09-Mar-20,0,10 - 13 March: Cheltenham Festival goes ahead with more than a quarter of a million people attending,The festival organisers cite Johnson's attendance at the rugby three days earlier as part of their rationale for going ahead. Data will later reveal a spike in cases in the region after the event. (Guardian)
09-Mar-20,0,Ireland cancels St Patrick's Day parades (BBC News),
09-Mar-20,0,"""No rationale"" for cancelling sporting events, says UK Government (BBC News)",
09-Mar-20,0,278 recorded coronavirus cases in UK,
09-Mar-20,0,"The FTSE 100 plunges by more than 8 percent, its largest intraday fall since 2008, amid concerns over the spread of COVID-19.[38]",
09-Mar-20,0,The Foreign and Commonwealth Office advises against all but essential travel to Italy due to the COVID-19 outbreak in the country and the nationwide lockdown.[39],
09-Mar-20,0,The first three cases are discovered in Dorset.[40],
09-Mar-20,0,10 March – Health minister Nadine Dorries tests positive for coronavirus.[41],
10-Mar-20,1,WHO declares global pandemic,
10-Mar-20,0,"Italy reaches 827 deaths, with over 12,000 confirmed cases. (BBC News)",
10-Mar-20,0,Mass gatherings banned in Sweden (Bloomberg),
11-Mar-20,0,"Madrid becomes the centre of Spain's coronavirus crisis, closing schools","With over 1,600 cases confirmed, Madrid's regional government announces the closure of all nurseries, schools, universities and cultural institutions. (Guardian)"
11-Mar-20,0,"Johnson allows 3,000 Atletico Madrid fans to fly to Liverpool","UK government allows the Champions League match between Liverpool and Atletico Madrid to go ahead, seeing 3,000 football fans travel from Madrid to Merseyside. 52,000 people attend the match. An investigation will later be launched into a regional spike in cases. (Guardian)"
11-Mar-20,0,Government briefs ITV's Robert Peston that herd immunity is the strategy,"Following a briefing from a Government source Peston writes: ""The strategy of the British government... is to allow the virus to pass through the entire population so that we acquire herd immunity."" (ITV News)"
11-Mar-20,0,A further 83 cases are discovered in the UK bringing the total to 456.[42],
11-Mar-20,0,"The Bank of England cuts its baseline interest rate from 0.75% to 0.25%, back down to the lowest level in history.[43]",
11-Mar-20,0,"Chancellor of the Exchequer, Rishi Sunak, presents the Johnson Government's first budget, which includes £30 billion in measures to protect the economy from coronavirus.[44][45][46]",
11-Mar-20,0,"Wales has its first case of ""community transmission"", when a patient in Caerphilly with no travel history tests positive for COVID-19.[47]",
12-Mar-20,1,The UK Chief Medical Officers raise the risk to the UK from moderate to high.[49],
12-Mar-20,1,"The government advises that anyone with a new continuous cough or a fever should self-isolate for seven days. Schools are asked to cancel trips abroad, and people over 70 and those with pre-existing medical conditions are advised to avoid cruises.[50][51]",
12-Mar-20,0,Mass testing and contact tracing stopped,"UK Government sharply departs from the course of action adopted by Germany and South Korea. At this point the UK has seen 10 deaths and 590 confirmed cases. “If we hadn’t stopped it on 12 March, our epidemic would have been much less,” professor of global health Anthony Costello will later say. According to the Royal Society of Medicine's Gabriel Scally: “Abandoning testing gave the virus the green light to spread uncontrollably.” (Bloomberg)"
12-Mar-20,0,Official UK death toll reaches 10,
12-Mar-20,0,"""Banning such events will have little effect on the spread"" – Johnson on the Cheltenham Festival (Independent)",
12-Mar-20,0,UK Government's plan is projected to kill 250K people,"The Government is presented with ""shattering"" findings from Imperial College modelling. Untrammelled, the virus could kill half a million people. The Government's herd immunity plan is projected to kill a quarter of a million. It is critical that action is taken urgently to suppress the virus. Instead it will be a further 11 days before Johnson introduces a lockdown. (Sunday Times)"
12-Mar-20,0,"""We are not, I repeat not, closing schools now"" – Boris Johnson (Politico)",
12-Mar-20,0,President Macron announces the closure of all French schools and universities (CNBC),
12-Mar-20,0,The total of cases in the UK is reported to be 590.[48],
12-Mar-20,0,"Following a recent series of major falls, the FTSE100 plunges again, this time by over 10%, its biggest drop since 1987.[52][53] Other markets around the world are similarly affected by ongoing economic turmoil.[citation needed]",
12-Mar-20,0,A patient at Wrexham Maelor Hospital tests positive for COVID-19 – the first case in North Wales.[54],
12-Mar-20,0,"Public Health England stops performing contact tracing, in view of the wide spread of infection in the population.[55]",
12-Mar-20,0,The rules published on 25 February for travellers returning from certain countries are withdrawn; they should now follow the same guidance as other households.[15],
13-Mar-20,0,Ireland's Taoiseach Leo Varadkar shuts all education institutions (The Sun),
13-Mar-20,0,"Germany closes schools, nurseries and universities (Express)",
13-Mar-20,0,"WHO declares Europe the ""epicentre"" of the coronavirus pandemic (BBC)",
13-Mar-20,0,"""As Europe Shuts Down, Britain Takes a Different, and Contentious, Approach"" – New York Times headline","""Prime Minister Boris Johnson has largely kept Britain open, opting for more targeted measures,"" says the newspaper, ""a strategy that has startled some epidemiologists."" (New York Times)"
13-Mar-20,0,"EU officials discuss joint purchase of ventilators. Britain refuses to join the scheme, despite being invited (Guardian)",
13-Mar-20,0,"Premier League suspends top flight football, in the absence of clear government guidance (BBC)",
13-Mar-20,0,"Johnson lifts restrictions on those arriving from known coronavirus hotspots, including Wuhan, Italy and Iran (Independent)",
13-Mar-20,0,"""Do not just let this fire burn"" – WHO","In contrast to the UK Government's approach, the head of the World Health Organization, Tedros Adhanom, urges governments around the world to ""Find, isolate, test and treat every case to break the chains of transmission... Do not just let this fire burn."" (WHO)"
13-Mar-20,0,Government adviser defends herd immunity strategy,"“Communities will become immune to it and that’s going to be an important part of controlling this longer term,” says Chief Scientific Adviser Sir Patrick Vallance. “About 60 per cent is the sort of figure you need to get herd immunity.” The strategy would require 40 million Britons to become infected. (Financial Times)"
13-Mar-20,0,NHS staff put at risk,"Government changes its guidance on PPE, advising NHS staff to wear less protective equipment in all but the most high-risk situations. (BBC News)"
13-Mar-20,0,Official UK death toll reaches 20,
13-Mar-20,0,"Government still allowing mass events as 5,000 pack arena in Cardiff","Stereophonics play the Welsh capital, while across town the Wales vs Scotland Six Nations rugby match is postponed – by the organisers, not the Government. (ITV News)"
13-Mar-20,0,The number of confirmed cases rises by 208 to 798.[56],
13-Mar-20,0,Authorities confirm the first death from coronavirus in Scotland.[57],
13-Mar-20,0,"The UK Government restricts the export of three drugs being administered to COVID-19 patients in clinical trials in China: Kaletra, Chloroquine phosphate, and Hydroxychloroquine.[58]",
13-Mar-20,0,"The Premier League 2019–2020 season is suspended, amid a growing list of worldwide sporting cancellations and postponements due to COVID-19.[59]",
13-Mar-20,0,"Elections including the English local elections, London mayoral election and police and crime commissioner elections, scheduled for May 2020, are postponed for a year because of the coronavirus.[60]",
13-Mar-20,0,"The Welsh Government's Health Minister Vaughan Gething announces that all non-urgent outpatient appointments and operations will be suspended at hospitals in Wales, in a bid to delay the spread of the coronavirus pandemic.[61]",
13-Mar-20,0,"BBC Radio 1 cancels its Big Weekend music festival, scheduled to take place at the end of May.[62] Organisers subsequently run an alternative event called Big Weekend UK 2020, with acts appearing on one of five virtual stages and performed from their homes; the event also features past performances from previous Big Weekend events.[63]",
14-Mar-20,0,"UK retailers release a joint letter asking customers not to panic buy products after some supermarkets sell out of items such as pasta, hand gel and toilet paper.[69]",
14-Mar-20,0,Government inaction sees 1.3 million coronavirus cases over the next nine days,"Despite governments across Europe increasing measures to counter the virus, later analysis will show that Johnson's dithering resulted in a huge spike in cases, from 200,000 on 14 March to 1.5 million on 23 March. (ITV News)"
14-Mar-20,0,Germany imposes border controls,"Germany tightens border restrictions with five neighbouring countries: Austria, Denmark, France, Luxembourg and Switzerland. (BBC News)"
14-Mar-20,0,"The number of confirmed cases rises to 1,140.[64]",
14-Mar-20,0,"A further 10 people are reported to have died from COVID-19, almost doubling the UK death toll from 11 to 21. The government's aim for a ""herd immunity"" approach generates controversy.[65][66][67]",
14-Mar-20,0,"Vice President of the United States, Mike Pence, announces the US is to extend its European coronavirus travel ban to include the UK from 16 March.[68]",
15-Mar-20,0,Ireland asks all pubs to close,"With just two days to go until St Patrick's Day celebrations, the Irish Government asks all pubs to close. Ireland only has 169 cases and two deaths confirmed. (BBC News)"
15-Mar-20,0,UK Government keeps pubs open,"At this point the UK has 1,400 confirmed cases and at least 35 deaths. (BBC News)"
15-Mar-20,0,Official UK death toll reaches 50,
15-Mar-20,0,Austria tightens borders and bans gatherings of more than five (Metro),
15-Mar-20,0,"The Foreign and Commonwealth Office advises against all but essential travel to Spain, in view of the escalating COVID-19 outbreak in the country.[70]",
15-Mar-20,0,The FCO advises against all but essential travel to the United States due to the restrictions imposed in response to the pandemic.[71],
15-Mar-20,0,"Health Secretary Matt Hancock says that every UK resident over the age of 70 will be told ""within the coming weeks"" to self-isolate for ""a very long time"" to shield them from coronavirus.[72]",
15-Mar-20,0,"The government announces plans to hold daily televised press conferences to update the public on the fight against the coronavirus pandemic, starting on Monday 16 March.[73]",
15-Mar-20,0,London's Old Vic becomes the first West End theatre to cancel a performance because of the pandemic when it ends its run of Samuel Beckett's Endgame two weeks early.[74],
16-Mar-20,1,"Prime Minister Boris Johnson advises everyone in the UK against ""non-essential"" travel and contact with others, to curb coronavirus, as well as to work from home if possible and avoid visiting social venues such as pubs, clubs or theatres. Pregnant women, people over the age of 70 and those with certain health conditions are urged to consider the advice ""particularly important"", and will be asked to self-isolate within days.[75]",
16-Mar-20,0,Johnson asks Britons not to go to pubs but allows them to stay open,"The Government requests that the public avoid non-essential contact and travel, but the measures stop short of a lockdown and mass gatherings are still allowed. (Fortune)"
16-Mar-20,0,Imperial College study published: over half a million Britons could die,"Even the Government’s “mitigation” approach could lead to 250,000 deaths and intensive care units being overwhelmed at least eight times over, the study finds. Imperial’s prediction of over 500,000 deaths is no different from a report by the Government’s own pandemic modelling committee two weeks earlier. (Reuters)"
16-Mar-20,0,"“Test, test, test"" says head of WHO","“You cannot fight a fire blindfolded. And we cannot stop this pandemic if we don’t know who is infected. We have a simple message for all countries: test, test, test.” - Director General of the World Health Organization, Tedros Adhanom. (WHO)"
16-Mar-20,0,"Johnson jokes that push to build new ventilators should be called ""Operation Last Gasp""",The comment is made during a conference call with CEOs to discuss life-saving ventilator production. (Politico)
16-Mar-20,0,France goes into lockdown (France24),
16-Mar-20,0,"The UK death toll from the pandemic reaches 55, with the number of cases of the illness passing 1,500.[75]",
16-Mar-20,0,"The government issues a call for businesses to support the supply of ventilators and ventilator components;[76] the NHS has access to 8,175 ventilators but it is thought that up to 30,000 may be needed.[77]",
16-Mar-20,0,The BBC delays its planned changes to TV licences for the over-75s from June to August because of the pandemic.[78],
16-Mar-20,0,"Theatres in London, as well as elsewhere around the UK, close following Boris Johnson's advice that people should avoid such venues.[79]",
17-Mar-20,0,The Foreign and Commonwealth Office advises against all non-essential international travel due to the pandemic and the border restrictions put in place by many countries in response.[83],
17-Mar-20,0,"20,000 deaths would be ""a good outcome"" – Government Chief Scientific Adviser (Telegraph)",
17-Mar-20,0,Official UK death toll reaches 100,Later analysis of excess deaths will show that this figure is likely half the actual total.
17-Mar-20,0,"NHS England announces that from 15 April all non-urgent operations in England will be postponed, to free up 30,000 beds to help tackle the virus.[80]",
17-Mar-20,0,"The Chancellor, Rishi Sunak, announces that £330bn will be made available in loan guarantees for businesses affected by the virus.[81][82]",
17-Mar-20,0,"The UK coronavirus-related death toll rises to 71, while the number of confirmed cases of the illness rises to 1,950.[84][85]",
17-Mar-20,0,"The UK government provides a £3.2million emergency support package to help rough sleepers into accommodation.[86][87] With complex physical and mental health needs, in general, homeless people are at a significant risk of catching the virus.[86]",
17-Mar-20,0,The National Assembly for Wales is closed to the public.[88],
17-Mar-20,0,"The BBC announces major changes to the schedule across the network. While programmes such as Politics Live, Victoria Derbyshire, The Andrew Neil Show, Newswatch, The Travel Show and HARDTalk have been suspended, others such as Newsnight and The Andrew Marr Show will continue with a smaller number of production staff. Question Time is moved to an earlier 8pm Thursday timeslot and will be broadcast without an audience from a fixed location. Podcasts programmes Americast, Beyond Today and The Next Episode are also suspended.[89]",
17-Mar-20,0,"Cinema chains Odeon, Cineworld, Vue and Picturehouse announce they will be closing all their UK outlets.[90]",
18-Mar-20,0,"Covid-19 is formally downgraded from Level 4 status, the highest threat level, to Level 3",This move enables the required standard of PPE to be lowered for hospital staff. (British Medical Journal)
18-Mar-20,0,"NHS staff ""thrown to the wolves"" by government over lack of PPE","The claim, from frontline NHS staff, follows acute shortages of PPE, including gowns, eye protection and face masks. (Bloomberg)"
18-Mar-20,0,"""Tracing every contact must be the backbone of the response in every country"" – WHO",
18-Mar-20,0,Six days since UK stopped contact tracing,"Despite the urging of the WHO, the UK has not reinstated contact tracing. Meanwhile, tracing continues to great effect in other countries tackling the virus, including Germany, South Korea and Singapore. Two months later the UK will still not have a national contact tracing app. (Guardian)"
18-Mar-20,0,"Pound sterling falls below $1.18, its lowest level since 1985.[91][92] Bank of England governor Andrew Bailey, commenting on the UK and wider economic situation, says: ""It's obviously an emergency. I think we're living in completely unparalleled times... It's going to be a very big downturn – we know that.""[93]",
18-Mar-20,0,"The UK death toll from coronavirus exceeds 100, with 32 new cases taking the total to 104.[94]",
18-Mar-20,0,"The government announces that all schools in the country will shut from the afternoon of Friday 20 March, except for those looking after the children of key workers and vulnerable children.[95] No exams will take place this academic year, Education Secretary Gavin Williamson confirms.[96]",
18-Mar-20,0,The Northern Ireland Assembly reduces its workload by suspending all non-essential Assembly business. It is closed to the public from the following day.[97],
18-Mar-20,0,"Princess Beatrice cancels her wedding reception at Buckingham Palace and will take further advice on whether to carry on with a private wedding ceremony, scheduled to take place on 29 May.[98]",
18-Mar-20,0,The 50th anniversary Glastonbury Festival is cancelled as a result of the pandemic.[99],
18-Mar-20,0,"The government announces emergency legislation to bring in a ban on new evictions for three months, as part of measures to help protect renters in social and private rented accommodation.[100]",
18-Mar-20,0,"The BBC announces that due to the coronavirus pandemic, filming on Casualty, Doctors, EastEnders, Holby City, Pobol y Cwm and River City is suspended until further notice. Weekly episodes of EastEnders will also be reduced from four to two to keep it on the air for as long as possible.[101]",
18-Mar-20,0,MP Lloyd Russell-Moyle announces that he has tested positive with the virus.[102],
19-Mar-20,0,Coronavirus patients sent back to care homes,A Government diktat tells NHS hospitals to move elderly patients into care homes without testing for Covid-19. A Whitehall official will later state that the policy was designed as a “stiff broom” to free up capacity in hospitals. The policy is linked to a later explosion of cases in care homes. (Telegraph)
19-Mar-20,0,UK closes schools and pubs,"The UK finally closes schools, cafes, pubs and restaurants. The move comes later than in any comparable European country. (BBC)"
19-Mar-20,0,The first COVID-19 death is confirmed in Northern Ireland.[103],
19-Mar-20,0,"The Ministry of Defence announces the formation of the COVID Support Force, enabling the military to support public services and civilian authorities in tackling the outbreak.[104] Two military operations are also announced: Operation Rescript, which focuses on the outbreak in the United Kingdom; and Operation Broadshare, which focuses on British military activities overseas.[105]",
19-Mar-20,0,"In an emergency move, the Bank of England cuts interest rates again, from 0.25% to just 0.1%. This is the lowest rate in the Bank's 325-year history.[106]",
19-Mar-20,0,"The government announces £1.6bn for local authorities, to help with the cost of adult social care and support for the homeless; and £1.3bn to the NHS and social care, to allow up to 15,000 people to be discharged from hospital.[107]",
20-Mar-20,1,"Prime Minister Boris Johnson orders all cafes, pubs and restaurants to close from the evening of 20 March, except for take-away food, to tackle coronavirus. All the UK's nightclubs, theatres, cinemas, gyms and leisure centres are told to close ""as soon as they reasonably can"".[110]",
20-Mar-20,0,"Chancellor Rishi Sunak announces that the government will pay 80% of wages for employees not working, up to £2,500 a month, as part of ""unprecedented"" measures to protect people's jobs.[109]",
20-Mar-20,0,"Government adviser claims PPE shortages ""completely resolved""","“The country has a perfectly adequate supply of PPE,” says Deputy Chief Medical Officer Jenny Harries, stating that supply issues have been ""completely resolved"". Two weeks later the British Medical Association will report acute shortages in dozens of NHS trusts across the UK, putting frontline NHS staff at risk. (The Lancet)"
20-Mar-20,0,Johnson tells the nation he is hoping to see his mother on Mother's Day,"""I hope to get to see her,"" he tells Downing Street press conference. (Independent)"
20-Mar-20,0,Official UK death toll reaches 200,Later analysis of excess deaths will show that this figure is likely half the actual total.
20-Mar-20,0,"Northwick Park Hospital in Harrow declares a ""critical incident"" due to a surge in patients with coronavirus.[108]",
21-Mar-20,0,"Under pressure, Johnson now tells people not to visit their mothers on Mother's Day (Daily Mail)",
21-Mar-20,0,"Environment Secretary George Eustice urges shoppers to stop panic buying, as supermarkets around the UK struggle to keep up with demand.[111] Tesco, Asda, Aldi, and Lidl are reported to have begun a recruitment drive for up to 30,000 new staff.[112]",
21-Mar-20,0,"NHS England negotiates a cost-price ""block booking"" of almost all services and facilities at the country's private hospitals, involving around 8,000 hospital beds, nearly 1,200 ventilators, and more than 10,000 nurses.[113]",
21-Mar-20,0,"The Driver and Vehicle Standards Agency announces that all pending practical and driving theory tests are to be postponed, for at least three months in the case of practical tests, and up to and including 20 April for theory tests. All candidates are to receive notification of when their tests are rescheduled.[114][115]",
22-Mar-20,0,UK finally goes into lockdown,"A cabinet source will later state: “We didn’t want to go down this route in the first place – public and media pressure pushed the lockdown, we went with the science."" In reality, many scientists were urging a much earlier lockdown. (Telegraph)"
22-Mar-20,0,"The Nursing and Midwifery Council announces that more than 5,600 former nurses have registered to offer their services in the fight against coronavirus.[116]",
22-Mar-20,0,"Boris Johnson warns that ""tougher measures"" may be introduced if people do not follow government advice on social distancing.[117]",
22-Mar-20,0,"Downing Street confirms Foreign Secretary Dominic Raab will act in place of Prime Minister Boris Johnson if he becomes ""incapacitated"".[118]",
22-Mar-20,0,"The UK death toll reaches 281, including what is reported to be the virus's youngest victim so far, an eighteen-year-old with underlying health problems.[117]",
